#Variant: bloom
#NNodes NLinks NPaths Runtime
32 129 4880 0.307496
32 129 4880 0.283416
32 129 4880 0.289241
32 129 4880 0.288511
36 149 6981 0.436923
36 149 6981 0.424285
36 149 6981 0.420141
36 149 6981 0.408531
40 169 9616 0.601518
40 169 9616 0.609828
40 169 9616 0.595435
40 169 9616 0.593456
44 189 12843 0.864895
44 189 12843 0.805144
44 189 12843 0.805106
44 189 12843 0.804587
48 209 16716 1.085602
48 209 16716 1.094942
48 209 16716 1.095972
48 209 16716 1.108056
52 229 21303 1.414891
52 229 21303 1.447510
52 229 21303 1.426964
52 229 21303 1.433905
56 249 26664 1.807448
56 249 26664 1.864670
56 249 26664 1.848691
56 249 26664 1.795032
60 269 32857 2.307268
60 269 32857 2.223475
60 269 32857 2.263367
60 269 32857 2.328454
64 321 40464 2.872346
64 321 40464 2.898011
64 321 40464 2.879672
64 321 40464 2.879410
68 345 48645 3.538274
68 345 48645 3.635765
68 345 48645 3.635657
68 345 48645 3.678724
72 369 57872 4.397939
72 369 57872 4.436512
72 369 57872 4.407461
72 369 57872 4.309270
76 393 68203 5.128722
76 393 68203 5.241320
76 393 68203 5.211053
76 393 68203 5.216430
80 417 79692 6.196069
80 417 79692 6.156518
80 417 79692 6.067157
80 417 79692 6.182529
84 441 92407 7.167333
84 441 92407 7.317809
84 441 92407 7.093720
84 441 92407 7.200904
88 465 106408 8.347755
88 465 106408 8.365082
88 465 106408 8.282315
88 465 106408 8.466237
92 489 121753 9.825879
92 489 121753 10.008029
92 489 121753 9.731208
92 489 121753 9.835560
96 513 138496 11.432380
96 513 138496 11.408871
96 513 138496 11.187429
96 513 138496 11.630241
100 537 156715 12.914224
100 537 156715 12.933458
100 537 156715 13.102014
100 537 156715 12.825230
104 561 176476 14.652837
104 561 176476 14.803155
104 561 176476 14.999492
104 561 176476 14.754260
108 585 197837 16.867206
108 585 197837 17.030771
108 585 197837 16.755084
108 585 197837 17.041552
112 609 220852 19.343883
112 609 220852 19.345460
112 609 220852 19.039546
112 609 220852 19.071984
116 633 245589 21.567888
116 633 245589 21.527719
116 633 245589 21.588638
116 633 245589 21.509935
120 657 272108 24.503579
120 657 272108 24.123435
120 657 272108 24.346263
120 657 272108 24.092454
