#Variant: naive-lat
#NNodes NLinks NPaths Runtime
32 129 4880 3.284213
32 129 4880 3.357675
32 129 4880 3.266812
36 149 6981 5.589799
36 149 6981 5.680413
36 149 6981 5.801413
36 149 6981 5.694121
40 169 9616 9.213462
40 169 9616 9.090937
40 169 9616 9.152253
40 169 9616 9.123290
44 189 12843 13.637110
44 189 12843 13.992258
44 189 12843 13.663403
44 189 12843 13.661919
48 209 16716 20.313275
48 209 16716 19.987205
48 209 16716 19.821391
48 209 16716 19.883345
52 229 21303 28.317487
52 229 21303 28.623249
52 229 21303 29.518273
52 229 21303 28.395242
56 249 26664 39.534809
56 249 26664 39.381677
56 249 26664 39.427745
56 249 26664 39.642442
