#Variant: seminaive-lat
#NNodes NLinks NPaths Runtime
32 129 4880 0.154462
32 129 4880 0.158646
32 129 4880 0.151950
32 129 4880 0.154763
36 149 6981 0.238506
36 149 6981 0.240989
36 149 6981 0.239904
36 149 6981 0.241273
40 169 9616 0.352446
40 169 9616 0.357433
40 169 9616 0.357273
40 169 9616 0.357297
44 189 12843 0.506852
44 189 12843 0.511447
44 189 12843 0.506325
44 189 12843 0.509993
48 209 16716 0.700527
48 209 16716 0.699807
48 209 16716 0.773143
48 209 16716 0.727667
52 229 21303 0.958440
52 229 21303 0.979602
52 229 21303 0.964763
52 229 21303 0.955227
56 249 26664 1.357570
56 249 26664 1.317080
56 249 26664 1.350076
56 249 26664 1.340447
60 269 32857 1.804253
60 269 32857 1.821834
60 269 32857 1.798233
60 269 32857 1.848144
64 321 40464 2.587997
64 321 40464 2.580343
64 321 40464 2.584985
64 321 40464 2.599439
68 345 48645 2.821199
68 345 48645 2.865637
68 345 48645 2.788213
68 345 48645 2.808000
72 369 57872 3.533836
72 369 57872 3.499095
72 369 57872 3.482135
72 369 57872 3.575983
76 393 68203 4.353420
76 393 68203 4.347381
76 393 68203 4.307240
76 393 68203 4.301461
80 417 79692 5.689772
80 417 79692 5.476606
80 417 79692 5.589667
80 417 79692 5.523579
84 441 92407 6.801345
84 441 92407 6.807597
84 441 92407 7.024310
84 441 92407 6.984621
88 465 106408 8.270650
88 465 106408 8.251357
88 465 106408 8.400552
88 465 106408 8.316139
92 489 121753 9.499206
92 489 121753 9.255641
92 489 121753 9.188765
92 489 121753 9.330867
96 513 138496 11.199472
96 513 138496 11.183605
96 513 138496 10.872671
96 513 138496 10.963569
100 537 156715 13.179319
100 537 156715 13.305843
100 537 156715 13.236078
100 537 156715 13.435714
104 561 176476 15.494327
104 561 176476 15.583724
104 561 176476 15.347355
104 561 176476 15.427496
108 585 197837 18.897844
108 585 197837 19.099225
108 585 197837 18.680384
108 585 197837 18.763722
112 609 220852 23.026258
112 609 220852 23.328737
112 609 220852 23.410490
112 609 220852 23.152817
116 633 245589 23.831928
116 633 245589 23.947130
116 633 245589 24.018984
116 633 245589 23.650208
120 657 272108 27.092652
120 657 272108 27.419357
120 657 272108 27.195334
120 657 272108 27.071597
