#Variant: bloom
#NNodes NLinks NPaths MeanRuntime Stddev StdError
20 65 1153 0.175312 0.019262 0.008614
24 81 1996 0.296388 0.008449 0.003778
28 97 3175 0.446402 0.024733 0.011061
32 129 4880 0.727706 0.028024 0.012533
36 149 6981 1.067821 0.038112 0.017044
40 169 9616 1.503506 0.037579 0.016806
44 189 12843 1.990027 0.066930 0.029932
48 209 16716 2.724213 0.092713 0.041462
52 229 21303 3.499207 0.089496 0.040024
56 249 26664 4.595843 0.203667 0.091083
60 269 32857 5.703628 0.328626 0.146966
64 321 40464 7.480977 0.359756 0.160888
68 345 48645 9.544502 0.560166 0.250514
72 369 57872 12.002796 0.810248 0.362354
76 393 68203 14.729694 1.111119 0.496907
80 417 79692 17.879891 1.468096 0.656552
84 441 92407 21.343239 1.817387 0.812760
88 465 106408 24.383197 1.547893 0.692239
92 489 121753 29.875500 2.530611 1.131724
96 513 138496 37.739289 4.333798 1.938133
100 537 156715 44.357542 5.133548 2.295793
