#Variant: naive-lat
#NNodes NLinks NPaths MeanRuntime Stddev StdError
20 65 1153 0.333616 0.020528 0.009180
24 81 1996 0.711930 0.006104 0.002730
28 97 3175 1.409889 0.038392 0.017169
32 129 4880 2.590050 0.024704 0.011048
36 149 6981 4.456114 0.084669 0.037865
40 169 9616 7.246039 0.064567 0.028875
44 189 12843 11.302193 0.048754 0.021803
48 209 16716 17.290971 0.154494 0.069092
52 229 21303 25.365267 0.254665 0.113890
56 249 26664 36.540374 0.554380 0.247926
60 269 32857 50.790553 0.962871 0.430609
64 321 40464 73.743522 1.619767 0.724382
