#NNodes NLinks NPaths Bloom LatticeSemi LatticeNaive
10 23 139 0.116291 0.035489 0.536164
12 29 237 0.237854 0.076218 1.962271
14 35 373 0.362419 0.164926 6.812985
16 49 588 0.673484 0.328619 24.537522
18 57 839 1.076703 0.576296 64.648422
20 65 1153 1.654808 0.974622
22 73 1537 2.457113 1.638815
24 81 1996 3.551240 2.571663
26 89 2540 5.000037 3.891453
28 97 3175 6.946529 6.009611
30 105 3908 9.360731 8.805610
32 129 4880 13.613687 14.510563
34 139 5867 18.540071 20.879743
36 149 6981 24.414816 28.849640
38 159 8229 31.271072 42.190745
40 169 9616 40.274699 59.108624
