#Variant: seminaive-lat
#NNodes NLinks NPaths MeanRuntime Stddev StdError
10 23 139 0.029156 0.013487 0.006032
12 29 237 0.061093 0.013835 0.006187
14 35 373 0.130446 0.002704 0.001209
16 49 588 0.275501 0.012789 0.005719
18 57 839 0.492152 0.021361 0.009553
20 65 1153 0.822323 0.018032 0.008064
22 73 1537 1.356041 0.021916 0.009801
24 81 1996 2.152044 0.044121 0.019731
26 89 2540 3.178815 0.031194 0.013950
28 97 3175 4.689808 0.043667 0.019528
30 105 3908 6.860598 0.097530 0.043617
32 129 4880 11.462780 0.318234 0.142318
34 139 5867 16.507265 0.016730 0.007482
36 149 6981 22.318267 0.020380 0.009114
38 159 8229 30.872921 0.067675 0.030265
40 169 9616 41.438233 0.036978 0.016537
