#NumberOfRules AvgCPUUtil CPUUtilStdDev AvgMem MemStdDev
0.5 1.05533333333333 0.0656116520816912 8404.992 390.673379429927
1 2.04888888888889 0.0850852876403407 8301.22666666667 474.916240366188
4 2.76333333333333 0.154656129909288 8492.37333333333 547.970031504968
16 1.85 0.0288032919929237 8186.53866666667 267.849031893383
64 2.49555555555556 0.118394611155311 8911.53066666667 490.293462242994
128 3.11333333333333 0.103744700891 11444.224 689.159354096472
256 3.59111111111111 0.020427529234278 12539.2213333333 422.097829157597
0 1.971 0.0845497880935645 15597.568 795.285278110104
1 1.95388888888889 0.0753428378140652 11426.4746666667 521.489419662141
4 2.98388888888889 0.101071420781373 13126.3146666667 827.799697133444
16 2.27333333333333 0.0970776703164744 11599.872 1799.09388426359
64 4.47555555555556 0.0691794945712656 14214.4853333333 667.202512587862
128 6.88555555555556 0.190128286775269 13759.8293333333 1174.93736002941
256 12.4183333333333 0.136768254926191 15603.0293333333 958.465944917305
