#NumberOfRules AvgCPUUtil CPUUtilStdDev AvgMem MemStdDev
0 1.05533333333333 0.0656116520816912 8404.992 390.673379429927
#1 1.08333333333333 0.0445554170128075 7738.70933333333 408.524525858064
#4 0.993333333333333 0.0748331477354788 7824.72533333333 842.49143210889
#16 1.12444444444444 0.106469725599044 8074.58133333333 1321.37041824043
50 1.43166666666667 0.105207026944585 12039.5093333333 1944.17042590498
#64 1.57555555555556 0.0843420431748816 8445.952 1011.95242487382
100 2.27444444444444 0.117452380684238 13007.5306666667 827.975327924423
#128 2.55777777777778 0.135272929413459 9921.87733333333 420.930295940894
150 2.87111111111111 0.0903115321512494 12739.9253333333 2779.24457726164
200 3.54555555555556 0.0467921593094347 13945.5146666667 768.9166535524
250 4.42 0.0456029563694024 14057.472 988.469273881593
#256 4.49 0.117126079583151 11963.0506666667 680.185442865563

