#F	HQ	HQ++-1	HQ++-2	HQ++-5	HQ++10	PBFT-1	PBFT-2	PBFT-5	PBFT-10
1	0.8	1.4	1.0	0.7	0.6	1.3	1.0	0.9	0.8
2	1.2	2.3	1.6	1.1	0.9	2.0	1.6	1.3	1.3
3	1.9	3.4	2.3	1.4	1.2	2.7	2.1	1.8	1.7
4	2.7	4.6	3.0	1.9	1.5	3.4	2.7	2.3	2.1
5	3.6	6.0	3.9	2.3	1.8	4.1	3.3	2.7	2.6
6	4.7	7.5	4.8	2.8	2.1	4.9	3.8	3.2	3.0
7	6.0	9.2	5.8	3.3	2.5	5.6	4.4	3.7	3.4
8	7.4	11.1	6.9	3.8	2.8	6.3	4.9	4.1	3.9
9	9.0	13.1	8.0	4.4	3.2	7.0	5.5	4.6	4.3
10	10.8	15.3	9.2	5.0	3.6	7.7	6.1	5.1	4.7
#F	HQ	HQ++(UHG)	HQ++(Non-UHG)	PBFT(Prim)	PBFT(Non-prim)
#F	HQ	HQ++(UHG)	HQ++(Non-UHG)	PBFT
